Unnamed: 0,id,foodname,foodtype,recommend,imgurl,price
0,1,Cantonese radish cake,Cantonese cuisine,"The radish cake in Cantonese morning tea is very popular with our family... If there is no clenza at home, I just used potato starch instead, which is also very good
I like radish cakes that are full of ingredients, so I used three sausages, usually 2 is enough",http://img.xiaochushuo.com/web/262627302.jpg!s4,71.38
1,2,Stir-fried leek flowers,Cantonese cuisine,"After more than a year, I came back to the kitchen to pull it. My friend missed me. It was too hot this summer and I had no taste. So I just cooked leek flowers. Is it delicious?",http://img.xiaochushuo.com/web/263290076.jpg!s4,106.67
2,3,Garlic loofah,Cantonese cuisine,"Today we will make a super fast home-cooked dish - garlic loofah, which is crisp and refreshing and particularly appetizing.",http://img.xiaochushuo.com/web/607749c811eb04872a58b7c16143f01c.jpg!s4,58.96
3,4,Green zircon fried Australian belt,Cantonese cuisine,This dish needs to be fryed in a pan,http://img.xiaochushuo.com/web/262658416.jpg!s4,51.56
4,5,Lemon Chicken Fillet,Cantonese cuisine,The chicken breast made in this method is super delicious?,http://img.xiaochushuo.com/web/d44f6d1228936943a864e1561628b401.jpg!s4,89.62
5,6,Sweet and Sour Ribs,Cantonese cuisine,Sweet and sour pork ribs are a favorite of many people.,http://img.xiaochushuo.com/web/263419305.jpg!s4,39.64
6,7,Steamed large crabs,Cantonese cuisine,"Hairy crabs contain more vitamin A, which is helpful for skin keratosis; for children's rickets and osteoporosis in the elderly, it can also supplement calcium. China is widely distributed in lakes along the north and south coasts, among which the Yangtze River system produces the largest yield and has an extremely delicious taste.",http://img.xiaochushuo.com/web/263933566.jpg!s4,80.77
7,8,Sweet and sour grass carp,Cantonese cuisine,"There are many ways to make grass carp. Today I make a sweet and sour dish, which is simple, easy to learn and delicious?",http://img.xiaochushuo.com/web/265544892.jpg!s4,116.74
8,9,Oyster fried eggs,Cantonese cuisine,"Oysters, commonly known as ""oysters"", are high in protein, low in fat, easy to digest and nutritious foods, and their medicinal value is still high. In addition to strengthening aphrodisiac, it also has the effects of nourishing the skin, strengthening the liver and detoxifying, so it is not only beneficial for men to eat, but also women can eat it frequently. However, oysters are slightly cold in nature, so you should pay attention to controlling your food and avoid eating too much at one time.",http://img.xiaochushuo.com/web/264489999.jpg!s4,85.81
9,10,Cantonese refreshment - Steamed pork ribs with soy sauce,Cantonese cuisine,"A series of Cantonese refreshments will be launched soon. This refreshment belongs to the ""steamed"" series among Cantonese refreshments, with a refreshing taste, clear but not turbid.",http://img.xiaochushuo.com/web/258630175.jpg!s4,30.84
10,11,Pig trotter ginger,Cantonese cuisine,"Pig-legged ginger, also known as egg pig-legged ginger vinegar or ginger vinegar, is a local traditional famous dish in Guangdong. It is the most distinctive tonic food for women and belongs to Cantonese cuisine. The main ingredients are pig's feet, eggs and ginger. Because ginger can drive away cold and remove dampness, promote qi and promote blood circulation, drinking in winter and spring can replenish qi and activate meridians, drive away cold and remove wind, and wake up the stomach.

Chinese name
Pig trotter ginger",http://img.xiaochushuo.com/web/263070736.jpg!s4,46.25
11,12,Stir-fried meat with heart attack,Cantonese cuisine,"I don’t know if the variety is wrong or the soil is not suitable. It grows like a small tree, so I had to eat the tip and roots of the vegetable heart. I stir-fry the vegetable heart infarction. The meat is tender and refreshing and delicious.",http://img.xiaochushuo.com/web/241388619ced6cbc83cbed05b8cef67a.jpg!s4,87.83
