,id,foodname,foodtype,recommend,imgurl,price
0,1,广式萝卜糕,粤菜,"广式早茶里面的萝卜糕深得我们家的喜欢……家里没有澄面了我直接用了土豆淀粉代替，也非常不错
我喜欢料足足的萝卜糕，所以腊肠用了三根，一般2根足够",http://img.xiaochushuo.com/web/262627302.jpg!s4,71.38
1,2,清炒韭菜花,粤菜,时隔一年多，我又回来厨房拉，厨友有想我嘛，今年夏季太热拉，吃啥没味口，干脆来道清炒韭菜花，好吃的啦？,http://img.xiaochushuo.com/web/263290076.jpg!s4,106.67
2,3,蒜蓉丝瓜,粤菜,今天我们来做一款超快手家常菜——蒜蓉丝瓜，清脆爽口，特别开胃。,http://img.xiaochushuo.com/web/607749c811eb04872a58b7c16143f01c.jpg!s4,58.96
3,4,绿野芝兰炒澳带,粤菜,这个菜要用平底锅才能煎出色,http://img.xiaochushuo.com/web/262658416.jpg!s4,51.56
4,5,柠檬鸡柳,粤菜,此方法做的鸡胸肉超级好吃噢?,http://img.xiaochushuo.com/web/d44f6d1228936943a864e1561628b401.jpg!s4,89.62
5,6,糖醋排骨,粤菜,糖醋排骨，很多人的最爱。,http://img.xiaochushuo.com/web/263419305.jpg!s4,39.64
6,7,清蒸大闸蟹,粤菜,大闸蟹中含有较多的维生素A，对皮肤的角化有帮助；对儿童的佝偻病，老年人的骨质疏松也能起到补充钙质的作用。中国境内广泛分布于南北沿海各地湖泊，其中以长江水系产量最大，口感极其鲜美。,http://img.xiaochushuo.com/web/263933566.jpg!s4,80.77
7,8,糖醋草鱼,粤菜,草鱼的做法有很多，今天做一道糖醋的，简单易学又好吃?,http://img.xiaochushuo.com/web/265544892.jpg!s4,116.74
8,9,生蚝煎蛋,粤菜,牡蛎俗称“生蚝”，是一种高蛋白、低脂肪、容易消化而且营养丰富的食品，其要药用价值还高。除了壮阳外，它还具有滋容养颜、强肝解毒的功效，所以不只男性吃了有好处，女性也可以经常吃。不过生蚝性微寒，要注意控制食量，避免一次性吃太多。,http://img.xiaochushuo.com/web/264489999.jpg!s4,85.81
9,10,广式茶点-豉汁蒸排骨,粤菜,近期会推出系列广式茶点，此道茶点属广式茶点中的“蒸”系列，口感清爽，清而不浊。,http://img.xiaochushuo.com/web/258630175.jpg!s4,30.84
10,11,猪脚姜,粤菜,"猪脚姜又称鸡蛋猪脚姜醋或姜醋，是一道广东的地方传统名菜，最具特色的女人滋补食品，属于粤菜。主要食材有猪脚、鸡蛋、姜。因为姜能驱寒去湿、行气活血，所以在冬冷春寒时进饮能补气活络、驱寒祛风、醒胃可口。

中文名
猪脚姜",http://img.xiaochushuo.com/web/263070736.jpg!s4,46.25
11,12,菜心梗炒肉,粤菜,自己种的菜心，不知道是品种出问题了还是土质不适合，长的跟小树似的好大一颗，我只好将菜心的尖端和根部的梗分开来吃了，菜心梗炒肉鲜嫩爽口很好吃。,http://img.xiaochushuo.com/web/241388619ced6cbc83cbed05b8cef67a.jpg!s4,87.83
12,13,可乐鸡翅,粤菜,这道可乐鸡翅，其实，很早的时候，奶奶学来烧给我吃，从那以后特别爱吃。汤汁拌饭那味道太香了。后来请教奶奶，奶奶手把手教了我一次就会了。特别简单。,http://img.xiaochushuo.com/web/262687496.jpg!s4,65.36
13,14,黄瓜皮蛋汤,粤菜,"夏季必备消暑汤??
强烈推荐?",http://img.xiaochushuo.com/web/264596864.jpg!s4,52.67
14,15,燕窝汤,粤菜,今天来个高级货，燕窝汤。,http://img.xiaochushuo.com/web/48172735.jpg!s4,72.41
15,16,清炒芹菜藕片百合,粤菜,田园味道，素雅清新爽口,http://img.xiaochushuo.com/web/265055879.jpg!s4,40.57
